site_id,site_name,longitude,latitude,kecamatan,MICRO_CLUSTER,CLUSTER,SALES_AREA,AREA,Population Covered,Revenue,Sec 1 Azimuth,Sec 2 Azimuth,Sec 3 Azimuth
14KBM001,GOMBONG,109.516,-7.61025,GOMBONG,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  18,714 ","  89,840,962 ",120,270,340
14KBM002,KEBUMEN,109.64,-7.66857,PEJAGOAN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  12,025 ","  104,381,907 ",30,145,260
14KBM003,KUTOWINANGUN,109.737,-7.71744,KUTOWINANGUN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  19,904 ","  136,539,911 ",30,120,240
14KBM004,PREMBUN,109.802,-7.72183,PREMBUN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  14,873 ","  112,167,015 ",60,160,260
14KBM005,KARANGANYARKBM_TB,109.575,-7.63822,KARANGANYAR,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  15,815 ","  62,631,993 ",60,245,335
14KBM006,PANJER_KBM,109.661,-7.67932,KEBUMEN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  7,870 ","  112,651,130 ",60,180,300
14KBM007,KEBUMENTIMUR_TB,109.689,-7.6925,KEBUMEN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  30,657 ","  81,325,797 ",100,220,285
14KBM008,GOMBONGBARAT,109.494,-7.60969,SEMPOR,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  11,769 ","  88,861,625 ",60,160,270
14KBM009,AYAH_TB,109.388,-7.71617,AYAH,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  23,738 ","  103,101,779 ",0,100,320
14KBM010,PETANAHANIT_TB,109.586,-7.74516,PETANAHAN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  49,324 ","  106,996,749 ",0,105,260
14KBM011,KEWARASAN_TB,109.509,-7.64644,KUWARASAN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  48,784 ","  55,095,785 ",0,100,180
14KBM012,KARANGBOLONG_TB,109.45197,-7.75896,AYAH,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  24,821 ","  96,268,941 ",40,255,340
14KBM013,AMBAL_TB,109.719,-7.78581,AMBAL,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  26,918 ","  108,709,539 ",15,100,285
14KBM014,MIRIT_TB,109.776,-7.79983,MIRIT,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  36,505 ","  106,176,244 ",0,90,280
14KBM015,KARANGGAYAM_TB,109.58,-7.5887,KARANGGAYAM,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  23,523 ","  113,478,038 ",0,160,260
14KBM016,KARANGSAMBUNG,109.67647,-7.598,KARANGSAMBUNG,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  15,311 ","  133,153,838 ",0,80,200
14KBM017,DEMANGSARI,109.405,-7.659,AYAH,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  18,065 ","  79,230,015 ",45,195,290
14KBM020,KEBUMEN_TIMUR_IB,109.665795,-7.668847,KEBUMEN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  3,666 ","  28,586,666 ",10,170,275
14KBM021,MULYOSARI_MT,109.791,-7.69472,PREMBUN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  16,426 ","  109,224,703 ",5,170,295
14KBM022,GRENGGENG_MT,109.536,-7.61029,GOMBONG,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  13,479 ","  70,995,171 ",130,190,280
14KBM023,MUKTISARI_RT,109.662,-7.70525,KEBUMEN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  11,418 ","  82,583,744 ",35,190,330
14KBM024,SINUNGREJO_RT,109.744,-7.75156,AMBAL,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  13,554 ","  69,988,274 ",5,115,245
14KBM025,PETANAHAN_PURING_RT,109.547,-7.74353,PURING,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  31,194 ","  51,056,015 ",10,100,280
14KBM026,SRANDIL_PL,109.671,-7.66778,KEBUMEN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  7,576 ","  41,495,266 ",25,175,285
14KBM027,KEDAWUN_PL,109.65,-7.67845,PEJAGOAN,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  4,106 ","  50,545,802 ",0,70,220
14KBM028,ROWOKELE_TB,109.447,-7.60245,ROWOKELE,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  23,648 ","  97,269,670 ",100,220,280
14KBM029,SRUWENG,109.61349,-7.66559,SRUWENG,MC-KEBUMEN,CW-CJA-PURWOBAMEN,BANJARNEGARA,CENTRAL JAVA,"  17,318 ","  71,528,210 ",100,160,310
