SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14BLA001MACRO,14BLA001,BLORA,111.420998,-6.968,CENTRAL JAVA,PATI,  94.16 ,  79.88 ,  57.68 ,  94.16 ,  4.69 ,  8.76 ,  16.16 ,  4.69 
14BLA002MACRO,14BLA002,CEPU,111.591003,-7.14024,CENTRAL JAVA,PATI,  49.52 ,  46.62 ,  80.33 ,  80.33 ,  21.58 ,  19.04 ,  6.74 ,  6.74 
14BLA003MACRO,14BLA003,RANDUBLATUNG,111.391998,-7.202778,CENTRAL JAVA,PATI,  96.26 ,  98.90 ,  99.50 ,  99.50 ,  3.21 ,  2.07 ,  1.81 ,  1.81 
14BLA004MACRO,14BLA004,JIKEN_TB,111.500999,-6.987939,CENTRAL JAVA,PATI,  77.20 ,  83.84 ,  70.28 ,  83.84 ,  8.31 ,  7.29 ,  13.87 ,  7.29 
14BLA005MACRO,14BLA005,BLORABARAT,111.376999,-6.966917,CENTRAL JAVA,PATI,  91.76 ,  64.97 ,  84.62 ,  91.76 ,  3.78 ,  17.68 ,  7.69 ,  3.78 
14BLA006MACRO,14BLA006,KEDUNGTUBAN,111.496002,-7.168028,CENTRAL JAVA,PATI,  68.55 ,  91.53 ,  81.72 ,  91.53 ,  10.61 ,  5.62 ,  8.81 ,  5.62 
14BLA007MACRO,14BLA007,NGAWEN,111.315002,-7.00177,CENTRAL JAVA,PATI,  85.52 ,  52.30 ,  97.10 ,  97.10 ,  6.25 ,  24.75 ,  2.61 ,  2.61 
14BLA008MACRO,14BLA008,DOPLANG,111.290001,-7.183333,CENTRAL JAVA,PATI,  67.94 ,  49.32 ,  48.70 ,  67.94 ,  12.08 ,  18.70 ,  22.51 ,  12.08 
14BLA009MACRO,14BLA009,KRADENAN_TB,111.456001,-7.246111,CENTRAL JAVA,PATI,  30.53 ,  94.47 ,  98.24 ,  98.24 ,  17.27 ,  3.24 ,  2.76 ,  2.76 
14BLA010MACRO,14BLA010,TODANAN_ST,111.174004,-6.93662,CENTRAL JAVA,PATI,  27.83 ,  53.24 ,  62.97 ,  62.97 ,  26.28 ,  16.92 ,  11.17 ,  11.17 
14BLA011MACRO,14BLA011,SAMBONG,111.564003,-7.10647,CENTRAL JAVA,PATI,  73.49 ,  85.36 ,  59.12 ,  85.36 ,  13.11 ,  7.85 ,  15.57 ,  7.85 
